Planet_name,Host_name,gaia_id,Number_of_stars,Number_of_planets,Number_of_moons,disc_facility,Planet_controversial_flag,Orbital_period[days],delta_orbpererr1,delta_orbpererr2,pl_orbperlim,Orbit_semimajor_axis,delta_orbsmaxerr1,delta_orbsmaxerr2,pl_orbsmaxlim,angular_separation[mas],delta_angseperr1,delta_angseperr2,pl_angseplim,Planet_radius[Earth],delta_radeerr1,delta_radeerr2,pl_radelim,Planet_radius[Jupiter],delta_radjerr1,delta_radjerr2,pl_radjlim,Planet_mass[Earth],delta_bmasseerr1,delta_bmasseerr2,pl_bmasselim,Planet_mass[Jupiter],delta_bmassjerr1,delta_bmassjerr2,pl_bmassjlim,Planet_density[g/cm^3],delta_denserr1,delta_denserr2,pl_denslim,Orbit_eccentricity,delta_orbeccenerr1,delta_orbeccenerr2,pl_orbeccenlim,Planet_insolation_flux[Earth],delta_insolerr1,delta_insolerr2,pl_insollim,Planet_equilibrium_temperature[K],delta_eqterr1,delta_eqterr2,pl_eqtlim,Orbital_inclinitation[deg],delta_orbinclerr1,delta_orbinclerr2,pl_orbincllim,ttv_flag,Ratio_semimajor_stellarradius,delta_ratdorerr1,delta_ratdorerr2,pl_ratdorlim,Ratio_planetradius/stellar,delta_ratrorerr1,delta_ratrorerr2,pl_ratrorlim,Radial_velocity_amplitude[m/s],delta_rvamperr1,delta_rvamperr2,pl_rvamplim,True_Obliquity,delta_trueobliqerr1,delta_trueobliqerr2,pl_trueobliqlim,Spectral_type,Stellar_effective_temperature,delta_tefferr1,delta_tefferr2,st_tefflim,Stellar_radius,delta_raderr1,delta_raderr2,st_radlim,Stellar_mass,delta_masserr1,delta_masserr2,st_masslim,Stellar_metallicity[dex],delta_meterr1,delta_meterr2,st_metlim,Stellar_metallicity_ratio,Stellar_luminocity[log(sun)],delta_lumerr1,delta_lumerr2,st_lumlim,Stellar_gravity_logg,delta_loggerr1,delta_loggerr2,st_logglim,Stelar_age[Gyr],delta_ageerr1,delta_ageerr2,st_agelim,Stellar_density[g/cm^3],delta_denserr1.1,delta_denserr2.1,st_denslim,Stelar_rotational_velocity[km/s],delta_vsinerr1,delta_vsinerr2,st_vsinlim,Stellar_rotational_period[days],delta_rotperr1,delta_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,RA[sexagesimal],RA[deg],DEC[sexagesimal],DEC,Distance[parsec],delta_disterr1,delta_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,st_nspec
Kepler-1603 b,Kepler-1603,Gaia DR2 2077891644372852864,1,1,0,Kepler,0,2.27163926,2.336e-05,-2.336e-05,0.0,0.0351,,,0.0,0.0129,,,0.0,1.29,0.47,-0.19,0,0.11508609,0.04193059,-0.01695066,0,2.21,,,0,0.00696,,,0,5.66,,,0,0.0,,,0.0,1269.46,1273.29,-414.95,0.0,1522.0,,,0.0,89.87,,,0.0,0,4.356,0.452,-0.452,0.0,0.008725,0.000395,-0.000563,0.0,,,,,,,,,F8,6241.0,116.66,-168.54,0.0,1.31,0.476,-0.178,0.0,1.21,0.153,-0.101,0,0.07,0.14,-0.141,0.0,[Fe/H],0.7055,,,0.0,4.28,0.104,-0.214,0.0,2.82,0.863,-1.08,0.0,0.30293,0.03143,-0.13234,0.0,,,,,,,,,,,,,19h41m19.16s,295.3298254,+42d32m05.89s,42.5349698,2712.58,248.97,-211.14,15.397,0.126,-0.126,13.84,0.048,-0.048,15.3397,0.000427,-0.000427,0
Kepler-173 b,Kepler-173,Gaia DR2 2077485271747441280,1,2,0,Kepler,0,4.263742,2.1e-05,-2.1e-05,0.0,0.048,,,0.0,0.0576,,,0.0,1.29,0.64,-0.64,0,0.115,0.057,-0.057,0,2.21,,,0,0.00696,,,0,5.66,,,0,0.0,,,0.0,599.495,28.984,-27.507,0.0,1179.0,,,0.0,88.44,,,0.0,0,10.7,3.8,-3.8,0.0,0.012558,0.000418,-0.000327,0.0,,,,,,,,,F8,6031.0,200.0,-200.0,0.0,0.949,0.473,-0.473,0.0,1.067,0.035,-0.034,0,0.0357,0.0141,-0.0141,0.0,[M/H],0.07365,,,0.0,4.404,0.3,-0.3,0.0,3.3,1.4,-1.4,0.0,0.86,0.07,-0.06,0.0,,,,,,,,,,,,,19h38m35.19s,294.6466171,+41d53m02.74s,41.8840952,833.165,14.828,-14.828,14.357,0.172,-0.172,12.668,0.034,-0.034,14.2578,0.000471,-0.000471,0
Kepler-1966 b,Kepler-1966,Gaia DR2 2053614049674000512,1,1,0,Kepler,0,8.617429733,,,0.0,0.0763,,,0.0,0.157,,,0.0,1.10479327,,,0,0.09856322,,,0,1.39,,,0,0.00437,,,0,5.66,,,0,0.0,,,0.0,68.28,9.75,-13.73,0.0,733.0,,,0.0,89.86,,,0.0,0,24.5,5.4,-5.4,0.0,0.011203,0.000649,-0.000798,0.0,,,,,,,,,,5009.0,74.0,-82.0,0.0,0.84,0.032,-0.064,0.0,0.797,0.054,-0.029,0,0.16,0.15,-0.15,0.0,[Fe/H],-0.56655,,,0.0,4.491,0.077,-0.028,0.0,,,,0.0,3.74749,0.82044,-1.75783,0.0,,,,,,,,,,,,,19h29m51.31s,292.4637788,+41d17m56.56s,41.2990438,484.601,14.365,-14.365,15.222,0.309,-0.309,12.643,0.038,-0.038,14.7889,0.000353,-0.000353,0
Kepler-312 b,Kepler-312,Gaia DR2 2078450436800904448,1,2,0,Kepler,0,1.772419,1.2e-05,-1.2e-05,0.0,0.031,,,0.0,0.0389,,,0.0,1.29,0.25,-0.25,0,0.115,0.022,-0.022,0,2.21,,,0,0.00696,,,0,5.66,,,0,0.0,,,0.0,4124.022,164.171,-157.16,0.0,1685.0,,,0.0,89.94,,,0.0,0,5.572,0.396,-0.396,0.0,0.008154,0.000337,-0.000246,0.0,,,,,,,,,G0,6115.0,100.0,-100.0,0.0,1.467,0.283,-0.283,0.0,1.314,0.025,-0.02,0,0.15,0.04,-0.04,0.0,[Fe/H],0.59751,0.03303,-0.02605,0.0,4.191,0.15,-0.15,0.0,2.88,0.28,-0.31,0.0,0.3,0.01,-0.01,0.0,,,,,,,,,,,,,19h53m34.98s,298.3957687,+42d27m35.18s,42.4597712,797.72,14.083,-13.611,13.01,0.057,-0.057,11.596,0.017,-0.017,12.9211,0.000418,-0.000418,0
Kepler-374 c,Kepler-374,Gaia DR2 2077745168807120128,1,3,0,Kepler,0,3.282807,2e-05,-2e-05,0.0,0.042,,,0.0,0.0332,,,0.0,1.1,0.57,-0.57,0,0.098,0.051,-0.051,0,1.37,,,0,0.0043,,,0,5.66,,,0,0.0,,,0.0,966.591,62.355,-58.039,0.0,1467.0,,,0.0,88.82,,,0.0,0,7.719,0.375,-0.375,0.0,0.010816,0.000445,-0.000277,0.0,,,,,,,,,G1,5977.0,200.0,-200.0,0.0,0.911,0.474,-0.474,0.0,1.033,0.033,-0.029,0,0.1111,0.0134,-0.0134,0.0,[M/H],0.27435,,,0.0,4.479,0.3,-0.3,0.0,8.51,1.26,-1.27,0.0,0.45,0.04,-0.04,0.0,,,,,,,,,,,,,19h36m33.09s,294.1378921,+42d22m13.47s,42.3704075,1265.61,34.84,-34.84,14.701,0.035,-0.035,13.136,0.032,-0.032,14.6608,0.000326,-0.000326,0
Kepler-392 c,Kepler-392,Gaia DR2 2102948483573807616,1,2,0,Kepler,0,10.423118,8.7e-05,-8.7e-05,0.0,0.093,,,0.0,0.136,,,0.0,1.1,0.23,-0.23,0,0.098,0.021,-0.021,0,1.37,,,0,0.0043,,,0,5.66,,,0,0.0,,,0.0,185.098,5.018,-4.89,0.0,901.0,,,0.0,87.72,,,0.0,0,20.41,9.5,-9.5,0.0,0.008552,0.000301,-0.000609,0.0,,,,,,,,,G1,5938.0,226.0,-226.0,0.0,1.129,0.231,-0.231,0.0,0.874,0.024,-0.023,0,-0.4362,0.017,-0.017,0.0,[M/H],0.19453,,,0.0,4.323,0.15,-0.15,0.0,2.97,0.76,-0.76,0.0,0.59,0.03,-0.03,0.0,,,,,,,,,,,,,19h14m38.60s,288.660826,+43d22m05.50s,43.3681938,681.428,7.674,-7.674,13.528,0.092,-0.092,12.121,0.016,-0.016,13.4218,0.000203,-0.000203,0
Kepler-393 b,Kepler-393,Gaia DR2 2127390970655877888,1,2,0,Kepler,0,9.182417,9.6e-05,-9.6e-05,0.0,0.091,,,0.0,0.103,,,0.0,1.29,0.25,-0.25,0,0.115,0.022,-0.022,0,2.21,,,0,0.00696,,,0,5.66,,,0,0.0,,,0.0,429.813,15.229,-14.666,0.0,1052.0,,,0.0,89.07,,,0.0,0,7.67,0.38,-0.38,0.0,0.008635,0.000234,-0.000355,0.0,,,,,,,,,F8,6189.0,100.0,-100.0,0.0,1.382,0.263,-0.263,0.0,1.256,0.023,-0.021,0,0.0322,0.0223,-0.0223,0.0,[M/H],0.52394,0.02002,-0.02174,0.0,4.233,0.15,-0.15,0.0,2.82,0.34,-0.31,0.0,0.38,0.01,-0.02,0.0,,,,,,,,,,,,,19h23m58.85s,290.995205,+45d11m31.88s,45.192188,881.404,14.022,-13.598,13.258,0.103,-0.103,11.995,0.017,-0.017,13.1783,0.000266,-0.000266,0
Kepler-1084 b,Kepler-1084,Gaia DR2 2129464546506876928,1,1,0,Kepler,0,2.05333679,4.127e-06,-4.127e-06,0.0,0.0324,,,0.0,0.0799,,,0.0,1.11,0.23,-0.15,0,0.09902757,0.02051923,-0.0133821,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,1766.593,57.071,-55.294,0.0,1737.0,,,0.0,61.5,,,0.0,0,2.03,1.0,-1.0,0.0,0.007597,0.000159,-0.000166,0.0,,,,,,,,,G0,6113.0,63.72,-75.56,0.0,1.28,0.266,-0.172,0.0,1.12,0.075,-0.063,0,-0.02,0.083,-0.108,0.0,[Fe/H],0.25259,0.01659,-0.01727,0.0,4.27,0.122,-0.133,0.0,4.07,1.0,-1.46,0.0,0.559944,0.157964,-0.093103,0.0,,,,,,,,,3.34794,1.356,-1.356,0.0,19h20m24.48s,290.1019809,+48d15m04.13s,48.251146,405.533,5.621,-5.472,12.015,0.034,-0.034,10.836,0.018,-0.018,12.1577,0.00022,-0.00022,0
Kepler-1117 b,Kepler-1117,Gaia DR2 2129755573491351040,1,1,0,Kepler,0,4.79028459,1.86e-05,-1.86e-05,0.0,0.05485,0.00032,-0.00032,0.0,0.0965,,,0.0,1.11,0.17,-0.08,0,0.09902757,0.01516638,-0.00713712,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,194.976,6.278,-6.085,0.0,938.0,,,0.0,87.83,,,0.0,0,13.397,0.735,-0.735,0.0,0.011152,0.000505,-0.000286,0.0,,,,,,,,,G6,5612.0,82.98,-101.57,0.0,0.93,0.134,-0.063,0.0,0.95,0.044,-0.049,0,0.03,0.136,-0.152,0.0,[Fe/H],-0.22396,,,0.0,4.49,0.051,-0.121,0.0,4.27,4.96,-2.66,0.0,1.49,0.04,-0.07,0.0,,,,,,,,,,,,,19h28m20.35s,292.0847866,+49d14m14.71s,49.2374206,568.487,5.9785,-5.9785,14.15,0.24,-0.24,12.463,0.026,-0.026,14.1237,0.000282,-0.000282,0
Kepler-124 d,Kepler-124,Gaia DR2 2131287021388901504,1,3,0,Kepler,0,30.950851,0.000361,-0.000361,0.0,0.17,,,0.0,0.405,,,0.0,1.11,0.07,-0.07,0,0.099,0.006,-0.006,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,10.499,0.297,-0.289,0.0,428.0,,,0.0,86.47,,,0.0,0,15.57,7.7,-7.7,0.0,0.017,0.00087,-0.00087,0.0,,,,,,,,,K2,4984.0,100.0,-100.0,0.0,0.636,0.03,-0.03,0.0,0.706,0.01,-0.006,0,-0.46,0.04,-0.04,0.0,[Fe/H],-0.46737,,,0.0,4.669,0.15,-0.15,0.0,1.82,2.1,-0.609,0.0,1.87,0.04,-0.03,0.0,,,,,,,,,,,,,19h07m00.66s,286.7527322,+49d03m53.56s,49.0648788,420.046,3.047,-3.004,14.4,0.126,-0.126,12.233,0.026,-0.026,14.124,0.000219,-0.000219,0
Kepler-1434 b,Kepler-1434,Gaia DR2 2135594392551675520,1,1,0,Kepler,0,8.05333618,8.907e-05,-8.907e-05,0.0,0.0917,0.00048,-0.00048,0.0,0.118,,,0.0,1.11,0.21,-0.2,0,0.09902757,0.01873495,-0.0178428,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,925.289,37.936,-36.24,0.0,1320.0,,,0.0,89.82,,,0.0,0,11.36,1.6,-1.6,0.0,0.005488,0.000229,-0.000321,0.0,,,,,,,,,F8,6291.0,88.58,-88.27,0.0,2.04,0.368,-0.342,0.0,1.47,0.127,-0.118,0,0.19,0.091,-0.094,0.0,[Fe/H],0.86244,0.02068,-0.02256,0.0,3.98,0.125,-0.109,0.0,2.57,0.49,-0.48,0.0,0.13,0.01,-0.01,0.0,,,,,,,,,-21.77555,1.44641,-1.44641,0.0,19h42m09.23s,295.5384415,+51d12m10.80s,51.2030002,775.529,14.697,-14.17,12.198,0.057,-0.057,10.819,0.017,-0.017,12.0421,0.000156,-0.000156,0
Kepler-1531 b,Kepler-1531,Gaia DR2 2100303539632796032,1,1,0,Kepler,0,1.138543376,2.587e-06,-2.587e-06,0.0,0.02204,0.0002,-0.0002,0.0,0.0331,,,0.0,1.11,0.48,-0.18,0,0.09902757,0.04282273,-0.01605852,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,4457.2,293.2,-293.2,0.0,2537.0,,,0.0,81.07,,,0.0,0,4.151,0.601,-0.601,0.0,0.007639,0.000261,-0.000171,0.0,,,,,,,,,F8,6260.0,161.61,-182.91,0.0,1.27,0.548,-0.206,0.0,1.16,0.201,-0.115,0,-0.03,0.133,-0.217,0.0,[Fe/H],0.30365,0.0124,-0.02097,0.0,4.29,0.119,-0.242,0.0,2.82,1.39,-1.03,0.0,0.53,0.03,-0.02,0.0,,,,,,,,,,,,,19h00m35.19s,285.146622,+39d22m14.90s,39.3708055,666.334,5.575,-5.485,13.202,0.092,-0.092,11.772,0.029,-0.029,13.1712,0.000233,-0.000233,0
Kepler-1693 b,Kepler-1693,Gaia DR2 2129417198787412608,1,2,0,Kepler,0,12.0999,,,0.0,0.1011,,,0.0,0.133,,,0.0,1.28938413,,,0,0.11503115,,,0,2.21,,,0,0.00695,,,0,5.67,,,0,0.0,,,0.0,100.37,38.77,-31.09,0.0,807.0,,,0.0,89.69,,,0.0,0,26.04,3.8,-3.8,0.0,0.012,0.000758,-0.000406,0.0,,,,,,,,,G7,5432.34,44.83,-44.83,0.0,0.878295,,,0.0,0.95,,,0,0.026,0.043,-0.043,0.0,[M/H],-0.21808,,,0.0,4.52851,,,0.0,0.8,3.9,-3.9,0.0,1.976816,,,0.0,,,,,,,,,,,,,19h20m48.37s,290.2015581,+48d11m08.81s,48.1857799,760.065,13.5015,-13.5015,14.857,0.092,-0.092,13.101,0.026,-0.026,14.7438,0.000357,-0.000357,0
Kepler-1945 b,Kepler-1945,,1,1,0,Kepler,0,6.080039978,,,0.0,0.0597,,,0.0,,,,,1.289,,,0,0.11499708,,,0,2.21,,,0,0.00695,,,0,5.67,,,0,0.0,,,0.0,100.72,32.86,-29.28,0.0,808.0,,,0.0,89.58,,,0.0,0,34.8,8.6,-8.6,0.0,0.012218,0.000554,-0.000652,0.0,,,,,,,,,,4991.0,149.0,-134.0,0.0,0.804,0.069,-0.089,0.0,0.767,0.087,-0.06,0,0.04,0.25,-0.3,0.0,[Fe/H],-0.441,,,0.0,4.513,0.082,-0.06,0.0,,,,0.0,21.56713,5.3528,-8.72362,0.0,,,,,,,,,,,,,18h47m35.54s,281.8980828,+42d17m08.95s,42.2858185,,,,13.586,0.057,-0.057,11.366,0.011,-0.011,,,,0
Kepler-327 b,Kepler-327,Gaia DR2 2126336710805475712,1,3,0,Kepler,0,2.549575,6e-06,-6e-06,0.0,0.029,,,0.0,0.12,,,0.0,1.11,0.05,-0.05,0,0.099,0.004,-0.004,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,73.056,7.459,-6.843,0.0,682.0,,,0.0,89.77,,,0.0,0,11.691,0.811,-0.811,0.0,0.020119,0.000618,-0.000381,0.0,,,,,,,,,M0,3799.0,100.0,-100.0,0.0,0.492,0.016,-0.016,0.0,0.591913,0.020356,-0.020356,0,-0.2,0.1,-0.1,0.0,[Fe/H],-1.25964,0.05898,-0.06826,0.0,4.758,0.1,-0.1,0.0,3.02,4.53,-1.46,0.0,3.773865,0.209287,-0.209287,0.0,,,,,,,,,,,,,19h30m34.15s,292.6422963,+44d05m15.45s,44.0876251,241.987,1.469,-1.469,15.611,0.149,-0.149,11.956,0.022,-0.022,14.9804,0.000386,-0.000386,0
Kepler-333 c,Kepler-333,Gaia DR2 2053581167404822272,2,2,0,Kepler,0,24.08821,0.000207,-0.000207,0.0,0.135,,,0.0,0.416,,,0.0,1.11,0.2,-0.2,0,0.099,0.018,-0.018,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,7.049,0.189,-0.184,0.0,386.0,,,0.0,89.51,,,0.0,0,31.0,13.0,-13.0,0.0,0.017719,0.000548,-0.000906,0.0,,,,,,,,,K6,4259.0,200.0,-200.0,0.0,0.534,0.054,-0.054,0.0,0.601,0.015,-0.015,0,0.0465,0.0127,-0.0127,0.0,[M/H],-0.92812,0.04539,-0.05069,0.0,4.732,0.3,-0.3,0.0,3.24,4.11,-1.62,0.0,2.78337,1.0822,-0.51701,0.0,,,,,,,,,,,,,19h29m08.67s,292.2861201,+40d54m48.75s,40.9135429,324.413,2.1495,-2.1495,15.052,0.08,-0.08,12.118,0.025,-0.025,14.7212,0.000745,-0.000745,0
Kepler-431 d,Kepler-431,Gaia DR2 2116862833283266432,1,3,0,Kepler,0,11.922,,,0.0,0.1045,,,0.0,0.215,,,0.0,1.11,,,0,0.1,,,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,272.838,5.999,-5.874,0.0,856.0,,,0.0,82.51,,,0.0,0,4.6,1.4,-1.4,0.0,0.0093,,,0.0,,,,,,,,,G0,6004.0,75.0,-75.0,0.0,1.092,0.191,-0.109,0.0,1.071,0.059,-0.037,0,0.07,0.1,-0.1,0.0,[Fe/H],0.49839,0.01739,-0.01652,0.0,4.4,0.15,-0.15,0.0,4.34,0.81,-0.81,0.0,0.27,0.02,-0.01,0.0,,,,,,,,,-8.99744,1.07907,-1.07907,0.0,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.546,4.766,-4.677,12.139,0.028,-0.028,10.649,0.011,-0.011,11.9291,0.000166,-0.000166,0
Kepler-446 c,Kepler-446,Gaia DR2 2106929849536047744,1,3,0,Kepler,0,3.036179,5.5e-06,-5.5e-06,0.0,0.0283,,,0.0,0.294,,,0.0,1.11,0.18,-0.18,0,0.1,0.02,-0.02,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,6.705,0.692,-0.633,0.0,520.0,,,0.0,88.97,0.57,-0.46,0.0,0,22.4,1.36,-1.36,0.0,0.0424,0.0018,-0.0018,0.0,3.5,1.5,-1.5,0.0,,,,,M4,3359.0,60.0,-60.0,0.0,0.24,0.04,-0.04,0.0,0.22,0.05,-0.05,0,-0.3,0.12,-0.12,0.0,[Fe/H],-2.24766,0.09634,-0.12398,0.0,5.03245,0.020075,-0.020075,0.0,3.72,6.22,-2.19,0.0,25.357136,0.390389,-0.390389,0.0,,,,,,,,,-118.0,1.0,-1.0,0.0,18h49m00.03s,282.2501047,+44d55m15.61s,44.921002,96.339,0.5141,-0.5087,17.5041,0.0472,-0.0472,12.827,0.024,-0.024,16.3101,0.00078,-0.00078,0
Kepler-746 b,Kepler-746,Gaia DR2 2051034247508620672,1,1,0,Kepler,0,3.48159251,1.115e-05,-1.115e-05,0.0,0.0435,,,0.0,0.0967,,,0.0,1.11,0.13,-0.09,0,0.09902757,0.01159782,-0.00802926,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,421.61,157.19,-122.21,0.0,1156.0,,,0.0,89.71,,,0.0,0,14.843,0.833,-0.833,0.0,0.010836,0.000443,-0.00044,0.0,,,,,,,,,G7,5418.0,87.09,-89.83,0.0,0.93,0.101,-0.069,0.0,0.91,0.039,-0.033,0,0.09,0.096,-0.093,0.0,[Fe/H],-0.172,,,0.0,4.46,0.08,-0.09,0.0,8.71,4.14,-5.82,0.0,5.1037,0.28648,-2.26044,0.0,,,,,,,,,,,,,19h22m43.73s,290.6822097,+37d21m18.57s,37.3551593,450.0,50.636,-34.816,13.785,0.103,-0.103,11.815,0.02,-0.02,13.6111,0.001307,-0.001307,0
Kepler-929 b,Kepler-929,Gaia DR2 2075389018477664384,1,1,0,Kepler,0,0.921032135,3.151e-06,-3.151e-06,0.0,0.01982,0.00021,-0.00021,0.0,0.0151,,,0.0,1.11,0.27,-0.15,0,0.09902757,0.02408779,-0.0133821,0,1.41,,,0,0.00444,,,0,5.67,,,0,0.0,,,0.0,8159.933,488.21,-456.289,0.0,2362.0,,,0.0,89.49,,,0.0,0,2.8623,0.0253,-0.0253,0.0,0.00957,0.000233,-0.00041,0.0,,,,,,,,,G1,5869.0,290.44,-266.47,0.0,1.02,0.245,-0.135,0.0,1.01,0.124,-0.089,0,-0.04,0.14,-0.183,0.0,[Fe/H],0.46075,,,0.0,4.42,0.091,-0.149,0.0,3.47,3.42,-1.78,0.0,0.34,0.02,-0.03,0.0,,,,,,,,,,,,,19h53m55.46s,298.4811022,+41d36m54.94s,41.6152603,1311.23,35.4,-33.62,14.738,0.183,-0.183,12.849,0.024,-0.024,14.5038,0.000249,-0.000249,0
Kepler-1692 b,Kepler-1692,Gaia DR2 2130641436264397568,1,1,0,Kepler,0,5.95966,,,0.0,0.0646,,,0.0,0.109,,,0.0,1.11177184,,,0,0.09918564,,,0,1.42,,,0,0.00447,,,0,5.68,,,0,0.0,,,0.0,153.48,111.26,-38.24,0.0,897.0,,,0.0,89.03,,,0.0,0,15.87,3.2,-3.2,0.0,0.010427,0.000535,-0.000482,0.0,,,,,,,,,K2,5146.0,122.0,-122.0,0.0,0.866139,,,0.0,0.87,,,0,0.36,0.1,-0.28,0.0,[Fe/H],-0.32425,,,0.0,4.50241,,,0.0,6.1,3.9,-3.9,0.0,1.887659,,,0.0,,,,,,,,,,,,,19h07m41.80s,286.9241804,+47d03m13.35s,47.0537092,591.019,6.926,-6.77,14.674,0.172,-0.172,12.658,0.023,-0.023,14.5049,0.000319,-0.000319,0
Kepler-1953 b,Kepler-1953,Gaia DR2 2130377106797534336,1,1,0,Kepler,0,6.245659828,,,0.0,0.0607,,,0.0,0.1,,,0.0,1.28574667,,,0,0.11470683,,,0,2.2,,,0,0.00692,,,0,5.69,,,0,0.0,,,0.0,67.62,27.85,-16.43,0.0,731.0,,,0.0,87.87,,,0.0,0,19.67,5.5,-5.5,0.0,0.014123,0.000731,-0.000985,0.0,,,,,,,,,Kepler-1953 b,4858.0,161.0,-161.0,0.0,0.707,0.08,-0.049,0.0,0.786,0.054,-0.081,0,-0.02,0.3,-0.3,0.0,[Fe/H],-0.62962,,,0.0,4.622,0.027,-0.059,0.0,,,,0.0,1.97131,2.75872,-0.02049,0.0,,,,,,,,,,,,,19h11m52.34s,287.9680995,+46d28m14.15s,46.4705959,605.631,9.929,-9.619,15.936,0.24,-0.24,13.163,0.029,-0.029,15.4666,0.000531,-0.000531,0
K2-407 b,K2-407,Gaia DR2 6239581123010344960,1,2,0,K2,0,4.941907,0.000661,-0.000696,0.0,0.05445,,,,,,,,1.283,0.097,-0.089,0,0.11446179,0.00865378,-0.00794006,0,2.19,,,0,0.0069,,,0,5.7,,,0,0.0,,,,,,,,1012.4,,,,,,,,0,12.77,0.86,-1.1,0.0,0.0127,0.001,-0.001,0.0,,,,,,,,,G4,5563.0,138.0,-138.0,0.0,0.927,0.058,-0.052,0.0,0.881,0.39,-0.267,0,0.014,0.235,-0.235,0.0,[Fe/H],-0.12724,0.01116,-0.02112,0.0,4.45,0.15,-0.15,0.0,,,,,1.580669,0.274166,-0.41667,0.0,,,,,,,,,,,,,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.376,1.676,-1.651,11.969,0.041,-0.041,10.213,0.022,-0.022,11.9956,0.000252,-0.000252,0
Kepler-65 d,Kepler-65,Gaia DR2 2102119176929154304,1,4,0,Kepler,0,8.13123,2e-05,-2e-05,0.0,0.084,0.006,-0.002,0.0,0.277,,,0.0,1.52,0.04,-0.04,0,0.136,0.004,-0.004,0,4.14,0.79,-0.8,0,0.013,0.0025,-0.0025,0,5.7,1.2,-1.2,0,0.014,0.016,-0.01,0.0,394.549,9.351,-9.133,0.0,1117.0,,,0.0,92.35,0.18,-0.16,0.0,1,12.821,0.167,-0.772,0.0,0.01081,0.00014,-0.00014,0.0,1.16488,1.07692,-1.07692,0.0,,,,,B,6211.0,66.0,-66.0,0.0,1.41,0.03,-0.03,0.0,1.25,0.06,-0.06,0,0.17,0.06,-0.06,0.0,[Fe/H],0.4674,0.01627,-0.01638,0.0,4.232,0.006,-0.006,0.0,2.9,0.7,-0.7,0.0,0.621,0.011,-0.011,0.0,10.4,0.6,-0.6,0.0,,,,,-16.72015,0.96227,-0.96227,0.0,19h14m45.29s,288.6887221,+41d09m03.99s,41.1511076,303.728,2.708,-2.661,10.922,0.008,-0.008,9.806,0.017,-0.017,10.9656,0.000386,-0.000386,0
K2-158 c,K2-158,Gaia DR2 3596003497911958528,1,2,0,K2,0,5.90279,0.00191,-0.00233,0.0,0.0622,0.0006,-0.0006,0.0,0.315,,,0.0,1.28,0.13,-0.1,0,0.11419395,0.01159782,-0.0089214,0,2.18,,,0,0.00687,,,0,5.71,,,0,0.0,,,,,,,,948.0,13.0,-13.0,0.0,,,,,0,11.3,2.4,-2.9,0.0,0.0123,0.0012,-0.0009,0.0,,,,,,,,,G7,5503.0,51.0,-48.0,0.0,0.95,0.02,-0.02,0.0,0.92,0.03,-0.02,0,0.07,0.07,-0.07,0.0,[Fe/H],-0.16298,0.00606,-0.00614,0.0,4.45,0.02,-0.02,0.0,,,,,1.575255,0.428238,-0.27785,0.0,,,,,,,,,-36.00036,0.77799,-0.77799,0.0,11h59m45.53s,179.9397081,-05d43m18.08s,-5.7216879,197.299,2.061,-2.02,11.774,0.024,-0.024,9.974,0.021,-0.021,11.6134,0.000546,-0.000546,0
Kepler-1008 b,Kepler-1008,Gaia DR2 2079733154550359424,2,1,0,Kepler,0,12.43931193,2.837e-05,-2.837e-05,0.0,0.09755,0.00087,-0.00087,0.0,0.345,,,0.0,1.28,0.07,-0.05,0,0.11419395,0.00624498,-0.0044607,0,2.18,,,0,0.00687,,,0,5.71,,,0,0.0,,,0.0,35.408,0.517,-0.509,0.0,627.0,,,0.0,88.35,,,0.0,0,30.711,0.912,-0.912,0.0,0.014991,0.000574,-0.000293,0.0,,,,,,,,,K1,5066.0,79.91,-66.82,0.0,0.78,0.032,-0.026,0.0,0.81,0.033,-0.034,0,-0.01,0.102,-0.102,0.0,[Fe/H],-0.50671,0.01934,-0.01557,0.0,4.56,0.03,-0.041,0.0,6.76,5.15,-4.0,0.0,1.97,0.05,-0.11,0.0,,,,,,,,,,,,,19h46m11.43s,296.5476395,+44d56m30.59s,44.9418307,282.565,1.284,-1.272,13.59,0.057,-0.057,11.378,0.012,-0.012,13.379,0.000345,-0.000345,0
